,movieId,country
0,1,Q30
1,2,Q30
2,3,Q30
3,4,Q30
4,5,Q30
5,6,Q30
6,7,Q30
7,7,Q183
8,8,Q30
9,9,Q30
10,10,Q30
11,10,Q145
12,11,Q30
13,12,Q30
14,12,Q38
15,12,Q142
16,13,Q30
17,14,Q30
18,15,Q30
19,15,Q38
20,15,Q142
21,15,Q183
22,16,Q30
23,16,Q142
24,17,Q30
25,17,Q145
26,18,Q30
27,19,Q30
28,20,Q30
29,21,Q30
30,22,Q30
31,23,Q30
32,23,Q142
33,24,Q30
34,25,Q30
35,25,Q142
36,26,Q30
37,26,Q145
38,27,Q30
39,28,Q30
40,28,Q142
41,28,Q145
42,29,Q29
43,29,Q31
44,29,Q142
45,29,Q183
46,30,Q142
47,30,Q148
48,31,Q30
49,32,Q30
50,34,Q30
51,34,Q408
52,36,Q30
53,38,Q30
54,39,Q30
55,40,Q30
56,40,Q258
57,41,Q145
58,42,Q30
59,43,Q30
60,43,Q145
61,44,Q30
62,45,Q30
63,45,Q145
64,46,Q30
65,47,Q30
66,48,Q30
67,49,Q16
68,50,Q30
69,52,Q30
70,53,Q38
71,53,Q142
72,54,Q30
73,55,Q30
74,55,Q142
75,57,Q30
76,58,Q31
77,58,Q38
78,58,Q142
79,60,Q30
80,61,Q30
81,62,Q30
82,63,Q30
83,64,Q30
84,65,Q30
85,66,Q30
86,68,Q142
87,69,Q30
88,70,Q30
89,71,Q30
90,72,Q30
91,73,Q142
92,74,Q30
93,75,Q30
94,76,Q16
95,76,Q17
96,76,Q30
97,77,Q30
98,78,Q30
99,79,Q30
100,80,Q794
101,81,Q30
102,82,Q55
103,83,Q30
104,85,Q30
105,85,Q145
106,86,Q30
107,86,Q145
108,87,Q30
109,88,Q30
110,89,Q30
111,92,Q30
112,93,Q30
113,94,Q30
114,95,Q30
115,96,Q145
116,97,Q142
117,99,Q30
118,100,Q30
119,101,Q30
120,102,Q30
121,103,Q30
122,104,Q30
123,105,Q30
124,106,Q183
125,107,Q30
126,108,Q30
127,110,Q30
128,111,Q30
129,112,Q8646
130,113,Q30
131,116,Q30
132,116,Q145
133,117,Q142
134,117,Q145
135,117,Q183
136,118,Q30
137,119,Q30
138,121,Q16
139,122,Q30
140,123,Q8646
141,125,Q30
142,126,Q183
143,128,Q30
144,129,Q30
145,129,Q408
146,132,Q30
147,135,Q30
148,137,Q30
149,140,Q30
150,141,Q30
151,144,Q30
152,145,Q30
153,146,Q30
154,147,Q30
155,148,Q145
156,149,Q30
157,149,Q142
158,149,Q145
159,150,Q30
160,151,Q30
161,152,Q30
162,153,Q30
163,154,Q142
164,155,Q30
165,155,Q145
166,156,Q30
167,157,Q30
168,158,Q30
169,159,Q30
170,160,Q30
171,160,Q145
172,161,Q30
173,162,Q30
174,163,Q30
175,164,Q30
176,165,Q30
177,166,Q30
178,166,Q142
179,168,Q30
180,169,Q30
181,170,Q30
182,171,Q30
183,172,Q16
184,172,Q30
185,173,Q30
186,174,Q30
187,175,Q30
188,176,Q30
189,177,Q30
190,178,Q16
191,179,Q30
192,180,Q30
193,181,Q30
194,183,Q145
195,183,Q159
196,183,Q183
197,184,Q30
198,185,Q30
199,186,Q30
200,187,Q30
201,188,Q30
202,189,Q30
203,190,Q30
204,190,Q145
205,191,Q30
206,193,Q30
207,193,Q142
208,194,Q30
209,195,Q30
210,196,Q30
211,198,Q30
212,199,Q142
213,199,Q713750
214,201,Q30
215,202,Q30
216,202,Q31
217,202,Q38
218,202,Q142
219,202,Q145
220,203,Q30
221,204,Q30
222,205,Q30
223,206,Q30
224,207,Q30
225,207,Q96
226,208,Q30
227,209,Q30
228,210,Q30
229,211,Q145
230,212,Q30
231,213,Q142
232,213,Q159
233,214,Q142
234,214,Q145
235,214,Q221
236,215,Q30
237,215,Q39
238,215,Q40
239,216,Q30
240,217,Q30
241,218,Q30
242,219,Q30
243,220,Q30
244,222,Q27
245,222,Q30
246,222,Q145
247,223,Q30
248,224,Q30
249,225,Q30
250,227,Q30
251,228,Q30
252,229,Q30
253,229,Q142
254,229,Q145
255,230,Q30
256,231,Q30
257,232,Q865
258,233,Q16
259,234,Q30
260,235,Q30
261,236,Q30
262,236,Q145
263,237,Q30
264,238,Q30
265,239,Q30
266,240,Q16
267,240,Q30
268,241,Q30
269,242,Q31
270,242,Q38
271,242,Q142
272,243,Q30
273,246,Q30
274,247,Q183
275,247,Q664
276,248,Q30
277,249,Q30
278,249,Q38
279,249,Q145
280,250,Q30
281,251,Q30
282,252,Q30
283,253,Q30
284,254,Q30
285,254,Q142
286,255,Q30
287,256,Q30
288,257,Q30
289,258,Q30
290,259,Q30
291,260,Q30
292,261,Q30
293,262,Q30
294,263,Q145
295,265,Q96
296,266,Q30
297,267,Q30
298,269,Q30
299,269,Q145
300,270,Q30
301,271,Q30
302,272,Q145
303,273,Q17
304,273,Q30
305,274,Q30
306,275,Q30
307,276,Q30
308,277,Q30
309,278,Q30
310,279,Q30
311,280,Q30
312,280,Q142
313,281,Q30
314,282,Q30
315,283,Q30
316,285,Q145
317,287,Q30
318,288,Q30
319,289,Q30
320,289,Q38
321,290,Q664
322,291,Q30
323,292,Q30
324,293,Q30
325,293,Q142
326,294,Q30
327,295,Q30
328,296,Q30
329,298,Q30
330,298,Q865
331,299,Q145
332,300,Q30
333,301,Q17
334,301,Q30
335,302,Q38
336,302,Q142
337,302,Q183
338,303,Q30
339,304,Q30
340,305,Q30
341,305,Q142
342,306,Q36
343,306,Q39
344,306,Q142
345,307,Q36
346,307,Q39
347,307,Q142
348,308,Q36
349,308,Q39
350,308,Q142
351,310,Q30
352,311,Q16
353,312,Q30
354,313,Q30
355,314,Q30
356,315,Q30
357,316,Q30
358,316,Q142
359,317,Q30
360,318,Q30
361,319,Q145
362,320,Q30
363,321,Q29
364,321,Q30
365,321,Q96
366,321,Q241
367,322,Q30
368,324,Q408
369,325,Q30
370,326,Q148
371,326,Q8646
372,327,Q30
373,328,Q30
374,329,Q30
375,330,Q30
376,331,Q30
377,331,Q145
378,332,Q30
379,332,Q145
380,333,Q30
381,334,Q30
382,335,Q30
383,336,Q30
384,337,Q30
385,338,Q30
386,339,Q30
387,340,Q30
388,341,Q16
389,342,Q142
390,342,Q408
391,343,Q30
392,344,Q30
393,345,Q408
394,346,Q145
395,346,Q183
396,347,Q142
397,347,Q145
398,348,Q30
399,349,Q30
400,350,Q30
401,351,Q30
402,352,Q30
403,353,Q30
404,354,Q30
405,355,Q30
406,356,Q30
407,357,Q145
408,358,Q30
409,359,Q30
410,360,Q30
411,361,Q30
412,362,Q30
413,363,Q183
414,364,Q30
415,365,Q30
416,365,Q38
417,365,Q142
418,365,Q145
419,365,Q347
420,366,Q30
421,367,Q30
422,368,Q30
423,369,Q30
424,370,Q30
425,371,Q30
426,372,Q30
